Time,Level,Category,Message,Raw Data
"Jun 06, 20:10:14.289","INFO","transcriber","Deepgram Flux WebSocket request","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.requestStarted"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""request"":{""url"":""wss://api.deepgram.com/v2/listen?model=flux-general-en&sample_rate=48000&encoding=linear16"",""config"":{""model"":""flux-general-en"",""sample_rate"":""48000"",""encoding"":""linear16""},""keyterm"":[]},""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:14.292","INFO","transcriber","Deepgram Flux WebSocket request","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.requestStarted"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""request"":{""url"":""wss://api.deepgram.com/v2/listen?model=flux-general-en&sample_rate=48000&encoding=linear16"",""config"":{""model"":""flux-general-en"",""sample_rate"":""48000"",""encoding"":""linear16""},""keyterm"":[]},""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:14.295","INFO","call","call.queued","{""category"":""call"",""service"":""call"",""event"":""call.queued"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""callType"":""web"",""transportProvider"":""daily"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:14.472","INFO","transcriber","Deepgram Flux WebSocket connected","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.connectionOpened"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:14.475","INFO","transcriber","Deepgram Flux WebSocket connected","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.connectionOpened"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.327","INFO","call","call.transportConnected","{""category"":""call"",""service"":""call"",""event"":""call.transportConnected"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""transportProvider"":""daily"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.327","INFO","call","call.started","{""category"":""call"",""service"":""call"",""event"":""call.started"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""callType"":""web"",""transportProvider"":""daily"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.328","INFO","call","call.assistantStarted","{""category"":""call"",""service"":""call"",""event"":""call.assistantStarted"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""assistantName"":""Sanskar AI Persona"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.328","INFO","call","call.recordingResumed","{""category"":""call"",""service"":""call"",""event"":""call.recordingResumed"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.329","INFO","pipeline","First message started","{""category"":""pipeline"",""service"":""call"",""event"":""pipeline.firstMessageStarted"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""firstMessageMode"":""assistant-speaks-first"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
